,g_id,mass,redshift,h_mass,central,galaxy_id,disk_sersic_index,sphere_sersic_index,disk_axis_ratio,disk_half_light_radius,sphere_half_light_radius,disk_mass_stellar,sphere_mass_stellar,sphere_axis_ratio,host_halo_mass,position_angles
50580518,6000000004.0,978714688.0,0.02186795550671783,2333965025280.0,True,6000000004.0,1.0,4.0,0.8169543147087097,2.623267611318385e-15,1.1682867069840833e-15,772006720.0,206707936.0,0.9991000294685364,2333965025280.0,8.060499195201243e-08
50581135,6000016078.0,2954937344.0,0.17893065571111633,2437444796416.0,True,6000016078.0,1.0,4.0,0.6791293621063232,4.422637030446717e-15,1.9433253970474605e-15,2154205440.0,800731840.0,0.955963671207428,2437444796416.0,2.143686246029556e-07
50581749,6000028053.0,274184384.0,0.1835568926123916,2127000502272.0,True,6000028053.0,1.0,4.0,0.6070576906204224,3.790993972461298e-15,1.5237675581757899e-15,176429232.0,97755152.0,0.9856653213500977,2127000502272.0,2.2910657766700828e-08
50582324,6000042362.0,9789091840.0,0.2195887370254137,6000332505088.0,True,6000042362.0,1.0,4.0,0.6737893223762512,3.599470861277926e-15,2.463491060071506e-15,2852735744.0,6936356352.0,0.9488638043403625,6000332505088.0,1.1848657926627438e-07
50582928,6000060325.0,2789160960.0,0.25925021332030695,12033509556224.0,True,6000060325.0,1.0,4.0,0.5663499236106873,3.819839651857354e-15,1.947210645428702e-15,1414370560.0,1374790400.0,0.900014340877533,12033509556224.0,1.7939164827107732e-07
50583578,6000081529.0,412102336.0,0.27708034831316364,6741426700288.0,True,6000081529.0,1.0,4.0,0.8823236227035522,4.153698964510722e-15,2.373462200888233e-15,174581024.0,237521312.0,0.9559940695762634,6741426700288.0,3.737155132852823e-08
50584171,6000109767.0,4846629376.0,0.328337174785563,1330519343104.0,True,6000109767.0,1.0,4.0,0.8694955706596375,4.887883487760589e-15,2.2949510438200958e-15,3796683264.0,1049946304.0,0.9716373085975647,1330519343104.0,1.1315112233175253e-07
50584750,6000112983.0,2772213760.0,0.31973796384818476,1020060762112.0,True,6000112983.0,1.0,4.0,0.5749882459640503,4.077404326115086e-15,1.9993255275321663e-15,2503078400.0,269135360.0,0.8774967193603516,1020060762112.0,1.9262050779712362e-07
50585310,6000143502.0,381515008.0,0.33583743852451087,933208588288.0,True,6000143502.0,1.0,4.0,0.5910689830780029,2.779869665242257e-15,1.254964248743305e-15,266368480.0,115146528.0,0.8755921125411987,933208588288.0,1.6969099945080547e-07
50585916,6000146120.0,372011456.0,0.34636297090031576,24682117988352.0,True,6000146120.0,1.0,4.0,0.2823421359062195,2.5827277489314757e-15,1.173847107624025e-15,207843184.0,164168304.0,0.8824467658996582,24682117988352.0,2.355753521443785e-07
