,h_id,projection_id,rs,rho,c,m200,q,angle,position_angle,phi,theta,bin_width,cat_id
0,0,0,10.921447432414492,2764044.6691103573,5.306264822757929,45252847041.83029,0.715181182477586,0.850923429862346,0.01959671093000769,6.26358859624958,0.5530555842176105,0.9540911582290121,0
5000,10,5116,9.319270279622199,5242067.42364764,6.984780590914676,64127274726.281784,0.8745526071432491,0.5247054118583927,2.258343386698913,0.8832492668908796,1.0184273022134243,0.9755481689342993,5000
10000,21,10549,7.59265271612217,7443481.557032683,8.092708914459502,53938776751.10034,0.8932289376392145,0.5175600202835862,1.6953145656405455,4.587870741539041,1.0267994634464515,0.9234118059859178,10000
15000,31,15594,8.30992647242648,8368624.57182354,8.496798407286757,81845786227.97588,0.8960163016643105,0.8235409828868635,2.70804275915682,0.4335498944329723,0.6031710075266051,0.9954757326677672,15000
20000,16,8272,14.896068348420604,6335559.920574323,6.384654110007379,221144953146.38513,0.9150513563741783,0.02122896990103489,1.6848251002488315,1.4567675533409628,0.6696019187739937,0.9999995455225381,20000
25000,24,12011,14.5896028939238,3169303.2952813227,6.523412643265317,216800095757.05356,0.8000095495947832,0.18080450273561402,0.9420105177589273,5.341174789420659,1.4471982119526645,1.0048753910477508,25000
30000,29,14699,14.53790081326683,10002290.168033674,6.512877901938737,214444281433.10562,0.9272313279390467,0.34497942565217493,1.949582299571035,1.1920103540187577,1.2260539645510506,0.9599268305255713,30000
35000,7,3945,13.997611477610938,6276450.394131213,6.760269537315512,209399762884.501,0.9107161835445747,0.5029549321591764,2.5815078000567016,0.5600848535330915,0.9047933859844363,0.991484767061305,35000
40000,37,18723,13.481161083325159,2495924.964817301,6.9291781057364865,206807380315.38547,0.9324050139664256,0.6615960539249726,1.779651554862042,4.503533752317545,0.8962391423736512,0.9912960020871289,40000
45000,33,16668,12.578447072660772,1862745.9591277086,7.49849545203082,201069672389.85016,0.9344987080802539,0.8201987008022434,1.8300932228402258,1.3114994307495673,1.3896635612634134,0.976895488441972,45000
50000,7,3533,11.770168288180962,8579080.291144783,8.049924474254238,198613792498.7504,0.8918897057543897,0.9828083015082357,0.15654748834324794,2.9850451652465453,1.4237160735041865,0.9916178339115973,50000
55000,33,16685,34.332001917477015,5641289.124885153,5.810344850414815,1974499326055.2383,0.8936958821762788,0.08468698882599887,2.138153335516425,4.145031971663165,0.8617906317967255,1.1129168649160732,55000
60000,3,1560,33.79933970376218,6915699.000059238,5.8848424955551195,1988604545892.104,0.9063247518348706,0.18240261013650957,2.950716341940943,3.3324689652386423,0.36249181908513267,1.0968417798843006,60000
65000,24,12067,33.90496694027091,1332526.6045142699,5.839711348745528,1979687473155.9585,0.7707906457726343,0.2857465269951187,1.8414704678937721,4.441714839285814,1.4571962708867239,1.1079573522114217,65000
70000,31,15639,34.200252440444444,1065580.9360114522,5.843693746730581,1989637214577.9385,0.8412350548549501,0.38736696131258147,1.4349660337375993,1.7066266198521933,1.1377221774883994,1.1428672096113246,70000
75000,43,21601,33.111973143469946,1658374.076957719,5.9629545286580345,1978051597690.276,0.8494488583988369,0.4828691806932976,1.9578869118747277,1.1837057417150652,1.1234675196144082,1.094647200618013,75000
80000,28,14252,32.67656688039287,1211368.0034671177,6.079232334683933,1976695746202.4126,0.7788099063074719,0.5813066101571569,2.432586407032539,3.850598900147048,1.1618737126796093,1.1014833900347085,80000
85000,34,17453,32.33168077228018,3850137.8088504095,6.155735172633108,1985477122138.21,0.8314494015543286,0.6856092485264678,2.372332061384046,0.769260592205747,1.492570278543227,1.111076524589322,85000
90000,36,18317,31.111645822673243,826244.6143115733,6.490849482849427,1989573958257.8513,0.8445283313305145,0.7863037236903718,0.19584606569780683,2.9457465878919877,0.33292228534749346,1.147703808575109,90000
95000,42,21240,29.01399982700092,3150673.078023182,7.098958029354279,1980542267143.924,0.9519919023255701,0.8886650633882014,1.6034540343651345,1.538138619224658,0.6813077087482518,1.1595711904701531,95000
100000,43,21658,27.362668708593873,3658379.5620701057,7.495930382118052,1976149457165.9954,0.8126120525793677,0.9877416226267046,1.2637869104308335,5.019398396748753,1.0399973226123311,1.0941747073071113,100000
105000,9,4824,21.81584953612423,5064637.907938782,6.8836961875360005,787444689218.5627,0.904386815260163,0.2367785939845684,1.6471271887647465,1.4944654648250464,1.331747514820137,1.107518355559158,105000
110000,19,9967,24.794191032456315,3806616.3498680256,6.094481170282693,802229799524.3652,0.904152447432263,0.9560642796426924,0.45375523648153065,2.6878374171082617,0.2975273715451001,1.1007747128500327,110000
